Name,Position,Age,ca,pa,Nationality,Club,Corners,Crossing,Dribbling,Finishing,First Touch,Free Kick Taking,Heading,Long Shots,Long Throws,Marking,Passing,Penalty Taking,Tackling,Technique,Aggressiion,Anticipation,Bravery,Composure,Concentration,Vision,Decision,Determination,Flair,Leadership,Off The Ball,Position.1,Teamwork,Work Rate,Acceleration,Agility,Balance,Jumping Reach,Natural Fitness,Pace,Stamina,Strength,Stability,Foul,Contest performance,Injury,diversity,Aerial Reach,Command Of Area,Communication,Eccentricity,Handling,Kicking,One On Ones,Reflexes,Rushing Out,Punching,Throwing,Adaptation,Ambition,Argue,Loyal,Resistant to stress,Professional,Sportsmanship,Emotional control,GK,DL,DC,DR,WBL,WBR,DM,ML,MC,MR,AML,AMC,AMR,ST,Height,Weight,Left Foot,Right Foot,Values,Current reputation,Domestic reputation,World reputation,Race,RCA,Colour of skin,Date of birth,Number of national team appearances,Goals scored for the national team,Salary,Rental club,UID
Randal Kolo Muani,AM/S R,23,140,149,"France,Congo",Eintracht Frankfurt,8,11,15,14,14,8,13,10,4,7,14,10,7,15,7,13,12,13,13,12,13,13,15,8,12,7,12,11,15,14,12,13,14,16,14,14,12,8,10,4,12,2,3,3,2,3,2,2,3,1,3,2,12,12,5,14,12,13,14,15,1,1,1,1,1,1,1,1,1,14,13,1,17,20,187,73,10,20,70.0,7000,6700,5400,North_African__Middle_Eastern,138,15,1998/12/5,0,0,28766.0,,48043873
Łukasz Fabiański,GK,37,140,154,Poland,West Ham United,2,3,2,1,8,7,11,3,3,7,11,4,13,7,10,13,12,16,18,10,12,15,5,8,4,15,14,13,9,15,12,15,13,8,10,13,17,3,15,10,11,13,13,14,7,15,12,15,16,14,12,14,16,14,6,13,10,18,18,19,20,1,1,1,1,1,1,1,1,1,1,1,1,1,190,83,5,20,0.7,7050,7700,6250,Northern_European,139,1,1985/4/18,57,0,69595.0,,718272
Moussa Dembélé,S,26,140,146,"France,Mali",Olympique Lyonnais,5,8,13,15,12,12,15,12,5,4,12,15,4,13,10,13,14,14,11,11,12,15,13,12,16,8,12,12,15,12,15,13,15,15,14,15,12,6,16,8,5,1,2,2,3,1,1,3,1,3,1,1,10,17,10,10,13,14,11,12,1,1,1,1,1,1,1,1,1,1,1,1,1,20,183,74,10,20,12.0,6850,6800,6200,African_Caribbean,139,16,1996/7/12,0,0,61369.0,,85104422
Rui Silva,GK,28,140,145,Portugal,Real Hispalis,4,2,1,1,9,7,8,2,3,2,9,2,2,9,9,13,13,12,13,9,13,13,1,7,3,13,12,14,11,13,14,10,12,11,13,12,12,7,9,6,12,13,14,14,9,16,13,15,16,14,13,13,13,10,12,12,10,15,14,16,20,1,1,1,1,1,1,1,1,1,1,1,1,1,191,91,20,9,15.0,6850,6750,5500,Mediterranean_Hispanic,137,5,1994/2/7,1,0,18389.0,,55067163
Manuel Lanzini,M/AM C,29,140,150,"Argentina,Italy",West Ham United,13,12,15,13,16,13,8,13,2,6,14,10,5,16,12,15,9,15,11,13,14,12,15,10,15,7,13,12,15,14,13,5,12,14,13,8,13,8,15,13,12,2,1,3,1,3,1,1,1,3,1,1,14,13,8,13,8,13,7,13,1,1,1,1,1,1,14,10,18,1,14,20,12,8,167,59,13,20,2.5,7000,7000,5500,Mediterranean_Hispanic,140,8,1993/2/15,5,1,81194.0,,14025513
Alexandre Lacazette,S,31,140,161,"France,Guadeloupe",Olympique Lyonnais,5,11,14,14,15,11,13,13,3,5,12,14,5,15,10,15,14,14,14,12,14,12,14,15,16,7,15,15,13,14,15,10,14,13,13,12,11,8,13,8,10,2,3,3,1,2,1,3,2,1,1,3,14,13,7,15,12,14,14,14,1,1,1,1,1,1,1,1,1,1,12,1,14,20,175,73,11,20,10.0,7198,6998,6848,African_Caribbean,140,13,1991/5/28,16,3,104393.0,,34011687
Grzegorz Krychowiak,DM/M C,32,140,155,Poland,FC Krasnodar,6,7,11,10,12,7,12,13,5,14,13,12,14,12,15,16,16,13,15,12,15,14,8,15,14,14,15,15,11,12,15,13,16,12,15,15,14,12,14,5,11,1,1,1,2,2,1,3,2,3,2,2,18,13,7,13,14,14,12,13,1,1,10,1,1,1,20,1,19,1,1,10,1,1,187,87,10,20,4.5,7000,7500,6000,Northern_European,140,5,1990/1/29,91,5,58499.0,Al-Shabab Football Club,34012402
Robin Knoche,D C,30,140,143,Germany,1. FC Union Berlin,5,8,7,7,11,5,15,6,12,16,12,6,15,10,10,15,15,16,16,8,15,11,4,8,6,16,18,13,10,9,13,14,16,10,14,15,17,6,13,8,12,3,1,2,2,2,2,1,2,3,2,1,5,10,3,16,13,15,16,18,1,1,20,10,1,1,12,1,10,1,1,1,1,1,190,78,11,20,5.0,6699,6699,5099,Northern_European,139,4,1992/5/22,0,0,23014.0,,91100465
Alexis Sánchez,S,33,140,175,Chile,Olympique de Marseille,12,13,15,13,17,14,14,13,3,3,15,13,4,17,13,13,15,12,12,15,14,14,16,12,16,5,12,15,15,16,12,10,15,15,11,8,14,8,15,14,12,3,2,3,1,1,3,3,2,1,2,4,18,17,6,8,15,13,13,13,1,1,1,1,1,1,1,8,1,8,12,13,12,20,169,70,10,20,2.5,7000,8420,6266,Mediterranean_Hispanic,141,11,1988/12/19,148,48,35281.0,,75000261
Giovanni Reyna,M/AM LC,19,140,-9,"United States,Portugal,England",Borussia Dortmund,13,12,16,12,15,14,7,13,4,6,15,10,7,15,13,13,11,15,11,14,11,13,13,8,15,7,13,14,14,15,13,10,16,15,13,10,11,7,16,14,15,1,1,1,1,2,3,3,3,2,2,3,13,16,10,8,14,12,12,15,1,1,1,1,1,1,1,17,18,12,17,20,12,10,185,79,12,20,20.0,7000,7000,5750,Mediterranean_Hispanic,139,7,2002/11/13,12,4,47944.0,,72051281
Vincenzo Grifo,M/AM RLC,29,140,144,"Italy,Germany",Sport-Club Freiburg,18,16,13,13,16,17,6,16,8,7,14,13,7,15,11,12,8,14,10,17,14,11,16,13,13,7,14,14,13,15,11,9,11,12,14,9,13,4,12,7,14,1,1,3,2,2,2,3,2,2,4,2,10,15,13,7,12,10,11,9,1,1,1,1,1,1,1,20,12,15,20,18,15,8,180,80,8,20,12.0,6847,7047,5497,Mediterranean_Hispanic,138,6,1993/4/7,6,2,19230.0,,91105243
Philipp Max,D/WB L,28,140,147,Germany,PSV Eindhoven,13,16,12,9,13,14,8,9,14,10,13,15,12,12,13,10,14,12,11,13,12,15,12,10,11,10,15,15,15,12,14,9,15,15,15,11,12,10,15,5,15,3,2,1,3,3,3,3,1,1,2,2,10,18,6,10,11,17,13,13,1,20,1,12,20,12,8,15,8,10,15,1,10,1,177,77,20,10,2.0,7000,7000,5750,Northern_European,128,3,1993/9/30,3,0,22998.0,,91100531
Kerem Demirbay,M/AM C,29,140,150,"Germany,Turkey",Bayer 04 Leverkusen,15,17,13,11,15,15,8,13,7,9,17,13,12,16,12,11,11,14,11,16,13,13,15,10,13,11,12,13,12,15,11,11,14,11,15,10,13,9,13,9,13,1,3,1,1,1,2,1,3,1,1,2,11,15,15,7,12,12,10,8,1,1,1,1,1,1,14,1,20,1,1,19,1,10,183,75,20,10,4.7,7000,7000,5750,North_African__Middle_Eastern,138,6,1993/7/3,2,1,96154.0,,91104583
Gaetano Castrovilli,M/AM C,25,140,150,Italy,ACF Fiorentina,13,12,15,13,15,12,13,14,6,9,14,11,13,15,14,13,13,11,12,13,13,16,15,10,13,11,14,16,14,15,12,13,14,13,15,12,12,14,12,13,13,2,2,1,1,3,3,1,1,4,1,4,12,18,7,13,13,15,12,9,1,1,1,1,1,1,1,12,20,12,13,16,12,1,187,72,10,20,8.0,7000,7100,5600,Mediterranean_Hispanic,141,3,1997/2/17,4,0,49807.0,,43206176
Nemanja Maksimović,DM/M RC,27,140,150,Serbia,Getafe,12,12,12,11,13,10,12,14,9,11,14,5,11,12,14,12,12,13,12,14,13,15,12,13,14,13,15,15,13,12,11,13,14,14,15,15,10,10,15,11,20,3,1,3,3,1,1,1,1,2,3,1,14,15,11,13,14,13,14,13,1,1,1,1,1,1,20,10,18,15,1,12,1,1,184,75,12,20,6.0,7000,6850,6250,Northern_European,134,4,1995/1/26,39,0,23075.0,,62097340
Davide Frattesi,M C,22,140,159,Italy,U.S. Sassuolo,7,10,15,13,13,8,14,13,6,10,14,12,12,14,14,13,14,13,14,13,14,15,12,10,15,12,15,14,15,14,12,13,16,14,14,13,13,13,12,3,13,1,1,1,2,1,4,3,1,2,1,3,10,13,5,13,16,15,11,13,1,1,1,1,1,1,15,1,20,1,1,12,1,1,184,74,10,20,30.0,6997,7197,5247,Mediterranean_Hispanic,141,1,1999/9/22,3,0,25000.0,,43272557
Jesse Lingard,M/AM RLC,29,140,148,United Kingdom,Nottingham Forest,8,10,14,14,13,5,4,11,4,4,13,10,6,14,15,13,13,12,12,11,13,14,14,5,17,10,16,13,15,15,14,6,17,15,17,8,12,4,18,3,9,3,3,2,2,4,2,3,3,2,3,3,13,15,7,17,10,17,12,16,1,1,1,1,1,1,1,16,12,15,18,20,17,8,175,62,11,20,6.0,7000,7100,5750,Mixed_Race,133,12,1992/12/15,32,6,115992.0,,28047560
Mattia Perin,GK,29,140,150,Italy,Juventus,5,5,5,5,7,5,5,5,5,5,7,5,1,7,10,12,17,11,13,6,12,15,3,12,2,14,10,11,12,15,13,15,8,11,10,11,15,5,9,15,1,13,13,14,17,15,11,15,17,15,9,14,14,14,13,15,13,13,11,14,20,1,1,1,1,1,1,1,1,1,1,1,1,1,188,74,7,20,3.0,7000,6750,5500,Mediterranean_Hispanic,137,3,1992/11/10,2,0,53462.0,,43044345
Che Adams,S,26,140,145,"Scotland,England,Antigua and Barbuda",Southampton,6,10,14,15,13,6,11,13,4,7,15,9,8,14,11,13,13,14,10,15,12,14,11,4,13,9,14,14,15,14,13,11,16,15,14,16,13,5,7,5,12,4,1,2,2,3,3,3,2,1,2,1,10,11,12,14,13,15,15,12,1,1,1,1,1,1,1,10,1,10,14,14,14,20,175,70,11,20,15.0,7000,6750,5500,Mixed_Race,139,12,1996/7/13,19,5,57996.0,,90055302
Pau López,GK,27,140,143,Spain,Olympique de Marseille,3,2,2,1,11,8,8,3,6,2,14,2,2,10,6,13,15,13,15,8,13,10,5,8,5,15,14,12,13,15,13,13,13,13,12,12,13,9,13,6,14,10,10,8,7,15,14,15,16,14,9,14,14,13,5,12,7,15,15,16,20,1,1,1,1,1,1,1,1,1,1,1,1,1,189,77,20,9,12.0,6992,6992,5992,Northern_European,140,4,1994/12/13,2,0,74794.0,,67178152
Andrea Belotti,S,28,140,156,Italy,Associazione Sportiva Roma,4,8,11,15,12,8,15,12,4,6,12,15,10,12,15,14,17,14,14,12,13,18,12,14,15,7,18,18,12,12,17,13,14,14,13,16,14,12,12,11,7,1,3,3,3,3,2,1,3,1,2,2,12,11,6,14,13,17,15,18,1,1,1,1,1,1,1,1,1,1,1,1,1,20,181,73,12,20,6.0,7000,7300,6350,Mediterranean_Hispanic,140,1,1993/12/20,44,12,85385.0,,43066936
Sardar Azmoun,S,27,140,143,Iran,Bayer 04 Leverkusen,10,9,11,15,14,7,13,11,10,10,12,13,9,14,12,13,12,12,13,11,14,14,12,10,16,11,13,9,14,13,12,15,13,16,14,11,12,9,17,5,14,1,3,1,3,3,1,3,4,2,3,3,12,14,6,10,9,10,13,9,1,1,1,1,1,1,1,1,1,1,5,12,7,20,186,82,11,20,10.0,6997,7497,6247,North_African__Middle_Eastern,139,1,1995/1/1,63,40,63287.0,,58098760
Mikkel Damsgaard,M/AM RLC,22,140,161,Denmark,Brentford,12,13,15,12,13,10,6,12,4,4,15,12,6,16,10,13,11,11,12,16,11,14,16,6,15,6,11,11,15,15,12,6,12,15,12,6,11,4,10,4,16,3,2,3,3,2,2,3,2,2,3,1,12,13,4,12,10,13,13,14,1,1,1,1,1,1,1,16,13,16,20,19,17,12,180,71,15,20,10.0,7000,7250,5000,Northern_European,134,4,2000/7/3,16,4,57996.0,,27128917
Douglas Costa,AM RLC,31,140,172,Brazil,LA Galaxy,12,14,17,9,17,13,4,15,4,3,14,12,4,18,12,13,9,12,9,14,11,10,18,6,13,5,7,9,16,16,14,6,8,16,10,8,10,7,12,19,12,1,1,1,1,1,1,1,1,1,1,1,12,10,14,12,12,9,7,7,1,1,1,1,1,1,1,14,5,14,20,15,20,10,172,75,20,10,1.5,6987,6990,6240,African_Caribbean,134,15,1990/9/14,31,3,58169.0,,19044710
Rachid Ghezzal,AM RC,30,140,140,"Algeria,France",Beşiktaş A.Ş.,15,16,14,12,16,12,7,14,4,4,16,15,8,17,12,14,11,14,14,17,16,12,16,8,13,6,14,12,12,15,13,10,14,12,14,9,14,13,13,8,13,1,3,2,3,4,3,3,1,2,3,3,11,14,12,14,12,9,8,8,1,1,1,1,1,1,1,14,15,15,14,16,20,1,182,65,20,8,2.0,6850,6350,5750,North_African__Middle_Eastern,140,8,1992/5/9,22,2,70513.0,,85031826
Diadié Samassékou,DM/M C,26,140,145,Mali,TSG Hoffenheim,8,10,11,7,13,6,10,9,6,12,16,8,16,13,16,16,14,12,12,14,13,14,8,8,10,13,15,17,14,15,12,9,16,12,15,13,15,11,13,7,9,4,2,4,1,2,2,1,1,1,3,3,13,15,9,9,11,13,10,12,1,1,1,1,1,1,20,1,19,1,1,1,1,1,176,68,10,20,2.5,7000,6950,6000,African_Caribbean,139,14,1996/1/11,27,1,59999.0,Olympiacos SF Piraeus,13162061
Rade Krunić,M/AM C,28,140,143,"Bosnia and Herzegovina,Serbia",AC Milan,11,12,13,9,12,13,12,13,8,11,14,11,13,13,11,13,14,12,15,12,12,14,11,11,13,13,16,15,13,14,15,12,14,14,14,13,14,11,10,8,18,2,3,3,3,2,3,2,3,3,3,4,15,13,5,13,12,14,14,12,1,1,1,1,1,1,15,14,20,11,14,19,10,8,184,74,12,20,7.5,7000,6700,5200,Mediterranean_Hispanic,137,2,1993/10/7,27,2,39231.0,,62025884
Everton Ribeiro,M/AM RC,33,140,151,Brazil,FLA,13,13,17,12,16,13,8,12,8,8,16,13,9,17,12,15,11,13,13,16,14,14,18,16,14,8,15,14,15,16,8,4,13,13,13,7,11,8,13,8,15,1,1,2,1,1,1,3,3,1,4,2,11,12,11,13,10,12,7,11,1,1,1,1,1,1,1,12,19,20,14,17,19,1,171,68,20,4,2.5,7550,7550,5537,Mediterranean_Hispanic,139,3,1989/4/10,20,3,35758.0,,19028921
Federico Bernardeschi,M/AM RL,28,140,152,Italy,Toronto FC,14,14,12,10,15,13,10,12,5,7,13,13,8,14,12,9,8,9,10,12,8,15,14,11,14,11,13,14,15,14,12,10,15,15,15,13,10,11,12,13,15,4,1,2,1,4,1,2,2,1,3,3,12,12,11,12,7,13,15,14,1,7,1,7,15,15,1,16,12,17,15,14,20,12,185,77,20,9,5.0,6988,6940,6344,Mediterranean_Hispanic,130,2,1994/2/16,39,6,121308.0,,43093476
Sergiño Dest,D/WB RL,21,140,155,"United States,Holland",Barcelona,8,14,14,8,14,8,8,10,12,11,13,9,13,14,11,12,13,11,11,12,11,16,15,10,15,11,13,14,15,16,11,7,12,15,13,8,12,10,9,9,14,2,3,1,3,1,3,1,2,2,2,1,15,14,8,10,14,14,13,10,1,18,1,20,18,19,1,12,1,14,12,1,12,1,171,62,12,20,18.0,6995,6995,5995,African_Caribbean,125,8,2000/11/3,17,2,76923.0,AC Milan,37065767
Marcão,D C,26,140,145,Brazil,Sevilla,8,8,10,7,13,8,13,7,8,13,15,13,14,14,16,14,16,15,13,14,14,14,10,12,10,14,14,15,13,13,15,13,18,13,14,15,14,16,12,12,10,2,2,3,4,1,3,2,3,1,3,2,14,14,12,10,12,14,12,9,1,5,20,1,1,1,10,1,1,1,1,1,1,1,185,80,20,9,5.0,7000,6120,7082,African_Caribbean,141,14,1996/6/5,0,0,23877.0,,19190440
Souza,DM/M C,33,140,140,Brazil,Beşiktaş A.Ş.,6,6,8,8,13,7,14,7,4,15,13,8,16,12,15,15,14,15,16,10,15,16,10,15,12,17,16,16,11,10,14,14,18,11,14,15,15,13,16,7,12,3,2,1,1,1,1,3,2,2,3,4,10,13,10,18,9,16,12,10,1,1,12,1,1,1,20,1,18,1,1,1,1,1,188,82,13,20,0.425,6950,7250,6400,Mixed_Race,139,13,1989/2/11,3,0,41667.0,,19060675
Nico Williams,M/AM RL,20,139,-9,"Spain,Ghana,Pays Basque",A. Bilbao,7,13,14,13,13,8,12,10,8,9,13,14,9,14,10,13,13,13,12,13,13,15,13,11,15,12,13,13,15,15,11,10,14,14,13,14,12,6,13,13,12,1,3,3,3,2,3,3,1,1,4,3,17,13,6,15,13,13,10,11,1,1,1,1,1,1,1,17,1,19,17,1,20,14,180,0,20,10,50.0,6950,6950,6200,African_Caribbean,138,16,2002/7/12,0,0,21264.0,,67276230
Daichi Kamada,M/AM RLC,25,139,141,Japan,Eintracht Frankfurt,11,12,16,13,16,9,7,9,3,6,14,12,10,15,13,10,8,13,13,15,14,11,14,6,14,6,15,14,14,16,10,11,14,13,14,8,13,5,11,5,13,1,1,2,1,1,1,2,2,1,3,3,9,15,3,13,9,17,14,17,1,1,1,1,1,1,1,12,18,12,16,20,16,13,184,76,12,20,15.0,7000,7100,6000,10,136,6,1996/8/5,19,5,8500.0,,45092714
Sofyan Amrabat,DM/M C,25,139,145,"Morocco,Holland",ACF Fiorentina,10,8,14,7,13,8,7,10,3,12,14,13,14,13,16,14,14,14,14,13,13,15,12,12,12,14,15,17,14,13,13,9,15,14,14,14,11,14,10,6,14,2,3,3,1,3,1,3,1,1,1,2,16,15,11,12,13,15,12,10,1,1,14,1,1,1,20,10,18,10,1,11,1,1,185,70,11,20,22.0,6946,6946,5396,North_African__Middle_Eastern,139,7,1996/8/21,36,0,36922.0,,37045879
Mohamed Elneny,DM/M C,30,139,155,Egypt,Arsenal,8,7,11,8,14,8,12,14,8,13,13,13,15,14,12,14,14,14,14,12,14,14,8,11,11,13,18,16,12,12,15,13,18,12,16,15,13,8,12,6,8,3,1,3,3,2,1,1,3,3,2,2,14,14,4,14,14,16,14,17,1,1,12,1,1,1,18,1,20,1,1,1,1,1,180,77,8,20,4.5,6800,7729,6233,North_African__Middle_Eastern,137,11,1992/7/11,92,8,57996.0,,12065054
Tommaso Pobega,DM/M C,23,139,158,Italy,AC Milan,4,10,11,12,13,7,11,15,10,12,14,11,14,12,16,15,13,14,13,12,14,16,8,10,14,13,14,14,12,12,14,12,14,13,15,14,14,14,11,6,12,1,3,2,4,1,1,1,3,1,1,3,8,14,4,13,12,19,13,14,1,1,7,1,1,1,18,8,20,8,1,12,1,1,188,75,20,12,12.0,6950,7200,5250,Northern_European,137,0,1999/7/15,1,0,35577.0,,43269242
Maxwel Cornet,D/WB/M/AM RL,25,139,143,"Ivory Coast,France",West Ham United,12,11,12,14,12,11,11,10,10,11,12,10,11,12,8,12,13,12,10,11,10,14,12,6,13,10,13,14,15,12,12,10,15,15,13,12,12,9,13,7,17,2,2,3,3,3,3,1,2,3,3,3,14,13,6,13,10,13,14,14,1,19,1,1,18,1,1,18,1,1,20,1,15,13,179,69,20,12,10.0,6950,6950,5500,African_Caribbean,126,17,1996/9/27,28,5,75395.0,,85117459
Yeray,D C,27,139,152,"Spain,Pays Basque",A. Bilbao,7,12,9,7,11,8,15,9,8,15,13,6,15,11,13,14,16,14,15,11,14,14,8,13,7,14,15,14,13,12,12,13,12,12,13,13,12,13,10,8,13,2,2,2,2,3,3,1,2,2,2,2,10,13,6,15,14,15,14,10,1,1,20,14,1,13,1,1,1,1,1,1,1,1,182,79,9,20,10.0,6950,6950,5450,Mediterranean_Hispanic,138,4,1995/1/24,0,0,21264.0,,67192475
Igor Zubeldia,D C,25,139,147,"Spain,Pays Basque",Real San Sebastián,9,11,12,12,12,12,13,12,8,14,14,12,14,14,15,15,13,12,13,12,13,12,9,11,11,14,16,15,12,13,13,11,14,12,15,14,13,14,11,7,14,3,2,2,3,3,4,1,3,3,1,3,12,11,8,15,12,13,12,14,1,1,20,1,1,1,15,1,12,1,1,1,1,1,180,79,12,20,22.0,6949,6949,4849,Mediterranean_Hispanic,139,5,1997/3/30,0,0,21547.0,,67215898
Dani Vivian,D/DM C,23,139,158,"Spain,Pays Basque",A. Bilbao,8,8,10,9,12,7,15,7,14,14,13,7,14,13,13,12,15,15,13,11,13,15,8,14,8,14,14,14,14,13,9,13,13,15,14,13,15,10,8,7,14,3,3,1,1,2,3,2,2,3,3,1,10,14,5,15,13,15,11,8,1,1,20,1,1,1,17,1,1,1,1,1,1,1,183,83,11,20,20.0,6950,6950,5450,Mediterranean_Hispanic,139,4,1999/7/5,0,0,21264.0,,67256618
Tyrell Malacia,D/WB L,22,139,150,"Holland,Curaçao",Manchester UFC,7,13,12,7,13,9,9,8,12,14,12,7,13,13,15,13,16,14,14,11,14,16,10,9,13,13,15,17,15,17,13,8,16,14,15,7,14,5,14,6,8,2,1,1,1,4,2,3,1,1,2,2,12,15,7,14,15,14,16,16,1,20,1,1,19,1,1,14,1,1,10,1,1,1,169,67,20,10,18.0,7300,6650,5500,African_Caribbean,138,13,1999/8/17,5,0,57996.0,,37058363
Odsonne Edouard,AM/S L,24,139,158,"France,French Guiana",Crystal Palace,6,10,14,15,13,11,11,11,4,8,11,15,8,15,9,13,12,13,12,12,12,13,12,6,14,8,12,13,15,13,14,14,14,14,14,14,13,6,14,7,12,1,1,1,1,1,1,3,1,1,1,1,13,17,15,12,15,13,14,13,1,1,1,1,1,1,1,1,1,1,17,13,12,20,187,83,11,20,20.0,6950,6950,5950,African_Caribbean,137,19,1998/1/16,0,0,98593.0,,48036880
Rodrigo,AM/S RLC,31,139,165,"Spain,Brazil",Leeds United,11,12,14,11,15,12,8,12,3,5,13,13,7,15,13,13,14,13,8,13,12,13,14,11,15,4,13,12,16,16,14,12,14,15,14,11,8,10,14,7,13,2,3,3,3,1,2,1,2,1,2,1,12,14,6,11,8,15,13,8,1,1,1,1,1,1,1,1,14,1,15,17,15,20,182,77,20,8,5.0,6946,7046,6496,Mixed_Race,129,12,1991/3/6,27,8,115992.0,,67086280
Ellyes Skhiri,DM/M C,27,139,143,"Tunisia,France",1. FC Köln,5,11,13,12,14,13,12,15,5,13,14,8,13,13,14,16,13,12,13,12,12,15,12,13,11,14,15,15,13,13,13,13,15,13,19,12,12,10,12,6,13,1,3,2,3,2,2,1,2,2,1,1,14,14,6,15,12,15,12,14,1,1,10,1,5,5,20,7,18,7,1,8,1,1,185,73,8,20,13.0,6748,6748,4998,North_African__Middle_Eastern,139,8,1995/5/10,45,3,28846.0,,85126092
Galeno,AM RL,24,139,146,"Brazil,Portugal",FC Porto,11,11,16,12,12,13,6,13,13,6,10,14,8,13,12,10,8,8,8,12,8,13,16,4,13,8,7,13,18,16,13,11,16,18,13,10,8,5,13,6,4,1,4,3,3,3,2,2,3,4,1,3,16,14,6,12,13,15,11,13,1,1,1,5,12,10,1,15,1,14,20,1,20,12,179,72,9,20,25.0,6950,5760,6001,Mixed_Race,131,8,1997/10/21,0,0,17850.0,,83152910
Pietro Terracciano,GK,32,139,145,Italy,ACF Fiorentina,5,3,2,2,9,9,10,3,2,2,10,5,1,9,4,14,14,14,14,11,10,13,8,12,7,15,14,10,10,12,15,17,13,9,13,14,14,5,12,6,15,14,16,15,8,14,15,15,15,12,14,16,12,12,5,13,12,16,16,13,20,1,1,1,1,1,1,1,1,1,1,1,1,1,193,78,6,20,2.5,6950,6950,4750,Mediterranean_Hispanic,141,2,1990/3/8,0,0,10769.0,,43017977
Munir,AM/S RLC,26,139,150,"Morocco,Spain",Getafe,13,13,15,13,15,12,9,13,8,4,13,13,5,15,8,15,10,12,11,15,13,12,16,8,15,6,12,13,14,15,13,8,12,13,12,10,12,9,16,6,14,3,2,2,1,1,2,2,2,2,1,1,17,17,7,16,10,15,17,11,1,1,1,1,1,1,1,9,1,9,20,15,18,18,175,69,20,12,2.0,6950,6950,5500,Mediterranean_Hispanic,135,4,1995/9/1,11,2,95825.0,,67174735
Aïssa Mandi,D RLC,30,139,148,"Algeria,France",Villarreal,6,15,11,5,12,6,14,5,12,15,14,6,15,12,15,15,16,12,13,13,12,16,7,12,12,14,14,14,13,13,14,13,15,14,13,14,13,13,14,8,15,1,2,1,1,1,3,3,2,2,3,3,16,13,7,16,13,15,14,14,1,15,20,16,10,13,1,1,1,1,1,1,1,1,184,78,9,20,2.0,6950,7200,6000,North_African__Middle_Eastern,139,11,1991/10/22,76,3,22256.0,,85079680
Ryan Christie,M/AM RLC,27,139,150,Scotland,AFC Bournemouth,11,12,14,13,14,12,5,14,1,5,13,11,7,15,10,15,7,13,11,16,13,12,16,8,16,9,12,15,14,14,13,9,15,14,14,11,15,6,14,6,10,2,4,3,2,2,1,1,3,3,4,1,10,14,8,14,10,14,14,13,1,1,1,1,1,1,1,15,16,15,16,20,20,9,178,74,20,10,12.0,6949,7099,5999,Northern_European,137,1,1995/2/22,31,4,40597.0,,61042900
Josef Martínez,AM/S L,29,139,142,"Venezuela,United States",Atlanta United FC,4,10,14,15,15,5,14,8,3,3,13,15,6,14,14,11,16,12,12,12,11,16,14,12,13,5,14,15,15,16,13,14,11,14,14,13,13,11,12,10,9,1,3,2,2,3,2,2,3,2,1,3,10,13,11,10,11,9,11,8,1,1,1,1,1,1,1,1,1,1,17,12,1,20,173,74,14,20,3.0,6934,7440,5348,Mixed_Race,141,13,1993/5/19,58,12,80305.0,,14023276
Mauro Arambarri,DM/M RC,26,139,149,Uruguay,Getafe,8,10,12,10,13,11,8,12,4,13,13,6,15,13,14,14,16,13,15,12,13,15,11,8,12,14,16,16,13,12,14,6,12,13,16,13,15,11,13,9,12,4,2,3,1,1,2,2,3,1,3,2,8,12,2,9,13,14,10,13,1,1,1,1,1,1,20,1,18,15,1,1,1,1,174,71,12,20,6.0,6950,6950,6200,Mediterranean_Hispanic,138,7,1995/9/30,12,0,19137.0,,78064881
Noni Madueke,M/AM RLC,20,139,-9,"England,Nigeria",PSV Eindhoven,12,11,17,13,15,10,11,11,11,3,12,11,5,15,10,10,14,15,11,8,11,12,16,5,12,5,10,12,15,15,14,12,15,16,11,14,9,13,6,17,14,3,2,1,4,1,3,3,3,2,3,2,12,11,6,12,11,12,11,13,1,1,1,1,1,1,1,16,12,18,17,16,20,10,176,0,20,10,25.0,7000,6500,5000,African_Caribbean,132,15,2002/3/10,0,0,14383.0,,37076092
Ángel Mena,M/AM RL,34,139,145,Ecuador,Club León,13,14,14,13,13,14,9,11,9,9,14,13,7,13,9,12,8,12,12,12,12,13,14,11,12,12,14,11,15,12,13,7,8,15,14,12,14,9,12,9,11,2,3,2,2,1,2,3,3,2,3,1,13,8,6,11,11,12,11,5,1,1,1,1,1,1,1,12,13,18,15,1,20,1,170,70,20,7,0.9,6935,7039,5302,Native_American,130,11,1988/1/21,45,7,22515.0,,86009323
Yerry Mina,D C,27,139,154,Colombia,Everton,6,8,12,7,12,6,16,8,9,14,12,9,15,11,13,12,13,14,13,9,14,15,9,17,10,14,13,14,10,12,8,17,11,13,12,16,12,13,12,15,5,1,3,1,3,2,2,3,1,2,3,4,15,14,9,12,14,13,12,11,1,1,20,1,1,1,1,1,1,1,1,1,1,7,193,79,9,20,3.0,6950,7300,6000,African_Caribbean,138,16,1994/9/23,39,7,139190.0,,76037151
Danilo Cataldi,DM/M C,27,139,145,Italy,S.S. Lazio,14,5,11,13,14,16,4,16,4,12,13,12,14,14,14,14,13,14,13,14,13,16,13,14,13,14,16,14,12,12,12,10,15,13,12,12,13,15,14,10,13,3,2,2,3,3,2,3,2,3,3,2,10,16,6,16,13,16,13,12,1,1,1,1,1,1,20,1,18,1,1,11,1,1,180,70,14,20,8.0,6950,6700,5000,Mediterranean_Hispanic,139,3,1994/8/6,0,0,49807.0,,43093936
